doc_type,doc_id,title,text,icd_code,icd_desc
icd,icd:I48.0,ICD I48.0,I48.0 | Paroxysmal atrial fibrillation,I48.0,Paroxysmal atrial fibrillation
icd,icd:I48.19,ICD I48.19,I48.19 | Other persistent atrial fibrillation,I48.19,Other persistent atrial fibrillation
icd,icd:I48.20,ICD I48.20,"I48.20 | Chronic atrial fibrillation, unspecified",I48.20,"Chronic atrial fibrillation, unspecified"
icd,icd:I48.91,ICD I48.91,I48.91 | Unspecified atrial fibrillation,I48.91,Unspecified atrial fibrillation
icd,icd:I49.01,ICD I49.01,I49.01 | Ventricular fibrillation,I49.01,Ventricular fibrillation
icd,icd:I50.21,ICD I50.21,I50.21 | Acute systolic heart failure,I50.21,Acute systolic heart failure
icd,icd:I50.22,ICD I50.22,I50.22 | Chronic systolic heart failure,I50.22,Chronic systolic heart failure
icd,icd:I50.23,ICD I50.23,I50.23 | Acute on chronic systolic heart failure,I50.23,Acute on chronic systolic heart failure
icd,icd:I50.31,ICD I50.31,I50.31 | Acute diastolic heart failure,I50.31,Acute diastolic heart failure
icd,icd:I50.33,ICD I50.33,I50.33 | Acute on chronic diastolic heart failure,I50.33,Acute on chronic diastolic heart failure
icd,icd:I50.9,ICD I50.9,"I50.9 | Heart failure, unspecified",I50.9,"Heart failure, unspecified"
icd,icd:I63.9,ICD I63.9,"I63.9 | Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified"
icd,icd:I64,ICD I64,"I64 | Stroke, not specified as haemorrhage or infarction",I64,"Stroke, not specified as haemorrhage or infarction"
icd,icd:I67.0,ICD I67.0,"I67.0 | Dissection of cerebral arteries, nonruptured",I67.0,"Dissection of cerebral arteries, nonruptured"
icd,icd:I71.00,ICD I71.00,I71.00 | Dissection of unspecified site of aorta,I71.00,Dissection of unspecified site of aorta
icd,icd:I71.01,ICD I71.01,I71.01 | Dissection of thoracic aorta,I71.01,Dissection of thoracic aorta
icd,icd:I71.02,ICD I71.02,I71.02 | Dissection of abdominal aorta,I71.02,Dissection of abdominal aorta
icd,icd:I71.4,ICD I71.4,I71.4 | Abdominal aortic aneurysm without rupture,I71.4,Abdominal aortic aneurysm without rupture
icd,icd:I74.3,ICD I74.3,I74.3 | Embolism and thrombosis of arteries of lower extremities,I74.3,Embolism and thrombosis of arteries of lower extremities
icd,icd:I80.10,ICD I80.10,I80.10 | Phlebitis and thrombophlebitis of unspecified femoral vein,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein
icd,icd:I82.401,ICD I82.401,"I82.401 | Acute deep vein thrombosis, right lower extremity",I82.401,"Acute deep vein thrombosis, right lower extremity"
icd,icd:I82.402,ICD I82.402,"I82.402 | Acute deep vein thrombosis, left lower extremity",I82.402,"Acute deep vein thrombosis, left lower extremity"
icd,icd:I95.1,ICD I95.1,I95.1 | Orthostatic hypotension,I95.1,Orthostatic hypotension
icd,icd:I95.9,ICD I95.9,"I95.9 | Hypotension, unspecified",I95.9,"Hypotension, unspecified"
icd,icd:I45.10,ICD I45.10,I45.10 | Unspecified right bundle-branch block,I45.10,Unspecified right bundle-branch block
icd,icd:I25.10,ICD I25.10,I25.10 | Atherosclerotic heart disease without angina,I25.10,Atherosclerotic heart disease without angina
icd,icd:I25.110,ICD I25.110,I25.110 | Atherosclerotic heart disease with unstable angina,I25.110,Atherosclerotic heart disease with unstable angina
icd,icd:J00,ICD J00,J00 | Acute nasopharyngitis (common cold),J00,Acute nasopharyngitis (common cold)
icd,icd:J01.00,ICD J01.00,"J01.00 | Acute maxillary sinusitis, unspecified",J01.00,"Acute maxillary sinusitis, unspecified"
icd,icd:J01.10,ICD J01.10,"J01.10 | Acute frontal sinusitis, unspecified",J01.10,"Acute frontal sinusitis, unspecified"
icd,icd:J01.90,ICD J01.90,"J01.90 | Acute sinusitis, unspecified",J01.90,"Acute sinusitis, unspecified"
icd,icd:J02.0,ICD J02.0,J02.0 | Streptococcal pharyngitis,J02.0,Streptococcal pharyngitis
icd,icd:J02.9,ICD J02.9,"J02.9 | Acute pharyngitis, unspecified",J02.9,"Acute pharyngitis, unspecified"
icd,icd:J03.00,ICD J03.00,"J03.00 | Acute streptococcal tonsillitis, unspecified",J03.00,"Acute streptococcal tonsillitis, unspecified"
icd,icd:J03.90,ICD J03.90,"J03.90 | Acute tonsillitis, unspecified",J03.90,"Acute tonsillitis, unspecified"
icd,icd:J04.0,ICD J04.0,J04.0 | Acute laryngitis,J04.0,Acute laryngitis
icd,icd:J04.1,ICD J04.1,J04.1 | Acute tracheitis without obstruction,J04.1,Acute tracheitis without obstruction
icd,icd:J05.0,ICD J05.0,J05.0 | Acute obstructive laryngitis (croup),J05.0,Acute obstructive laryngitis (croup)
icd,icd:J06.0,ICD J06.0,J06.0 | Acute laryngopharyngitis,J06.0,Acute laryngopharyngitis
icd,icd:J06.9,ICD J06.9,"J06.9 | Acute upper respiratory infection, unspecified",J06.9,"Acute upper respiratory infection, unspecified"
icd,icd:J10.1,ICD J10.1,J10.1 | Influenza with other respiratory manifestations,J10.1,Influenza with other respiratory manifestations
icd,icd:J11.1,ICD J11.1,"J11.1 | Influenza with other respiratory manifestations, virus not identified",J11.1,"Influenza with other respiratory manifestations, virus not identified"
icd,icd:J12.9,ICD J12.9,"J12.9 | Viral pneumonia, unspecified",J12.9,"Viral pneumonia, unspecified"
icd,icd:J13,ICD J13,J13 | Pneumonia due to Streptococcus pneumoniae,J13,Pneumonia due to Streptococcus pneumoniae
icd,icd:J14,ICD J14,J14 | Pneumonia due to Haemophilus influenzae,J14,Pneumonia due to Haemophilus influenzae
icd,icd:J15.0,ICD J15.0,J15.0 | Pneumonia due to Klebsiella pneumoniae,J15.0,Pneumonia due to Klebsiella pneumoniae
icd,icd:J15.212,ICD J15.212,J15.212 | Pneumonia due to Methicillin resistant Staphylococcus aureus,J15.212,Pneumonia due to Methicillin resistant Staphylococcus aureus
icd,icd:J18.0,ICD J18.0,"J18.0 | Bronchopneumonia, unspecified organism",J18.0,"Bronchopneumonia, unspecified organism"
icd,icd:J18.1,ICD J18.1,"J18.1 | Lobar pneumonia, unspecified organism",J18.1,"Lobar pneumonia, unspecified organism"
icd,icd:J18.9,ICD J18.9,"J18.9 | Pneumonia, unspecified organism",J18.9,"Pneumonia, unspecified organism"
icd,icd:J20.9,ICD J20.9,"J20.9 | Acute bronchitis, unspecified",J20.9,"Acute bronchitis, unspecified"
icd,icd:J21.0,ICD J21.0,J21.0 | Acute bronchiolitis due to respiratory syncytial virus,J21.0,Acute bronchiolitis due to respiratory syncytial virus
icd,icd:J21.9,ICD J21.9,"J21.9 | Acute bronchiolitis, unspecified",J21.9,"Acute bronchiolitis, unspecified"
icd,icd:J22,ICD J22,J22 | Unspecified acute lower respiratory infection,J22,Unspecified acute lower respiratory infection
icd,icd:J30.1,ICD J30.1,J30.1 | Allergic rhinitis due to pollen,J30.1,Allergic rhinitis due to pollen
icd,icd:J30.9,ICD J30.9,"J30.9 | Allergic rhinitis, unspecified",J30.9,"Allergic rhinitis, unspecified"
icd,icd:J36,ICD J36,J36 | Peritonsillar abscess,J36,Peritonsillar abscess
icd,icd:J40,ICD J40,"J40 | Bronchitis, not specified as acute or chronic",J40,"Bronchitis, not specified as acute or chronic"
icd,icd:J44.0,ICD J44.0,J44.0 | COPD with acute lower respiratory infection,J44.0,COPD with acute lower respiratory infection
icd,icd:J44.1,ICD J44.1,J44.1 | COPD with acute exacerbation,J44.1,COPD with acute exacerbation
icd,icd:J44.9,ICD J44.9,"J44.9 | COPD, unspecified",J44.9,"COPD, unspecified"
icd,icd:J45.21,ICD J45.21,J45.21 | Mild intermittent asthma with acute exacerbation,J45.21,Mild intermittent asthma with acute exacerbation
icd,icd:J45.31,ICD J45.31,J45.31 | Mild persistent asthma with acute exacerbation,J45.31,Mild persistent asthma with acute exacerbation
icd,icd:J45.41,ICD J45.41,J45.41 | Moderate persistent asthma with acute exacerbation,J45.41,Moderate persistent asthma with acute exacerbation
icd,icd:J45.51,ICD J45.51,J45.51 | Severe persistent asthma with acute exacerbation,J45.51,Severe persistent asthma with acute exacerbation
icd,icd:J45.901,ICD J45.901,J45.901 | Unspecified asthma with acute exacerbation,J45.901,Unspecified asthma with acute exacerbation
icd,icd:J45.90,ICD J45.90,"J45.90 | Unspecified asthma, uncomplicated",J45.90,"Unspecified asthma, uncomplicated"
icd,icd:J80,ICD J80,J80 | Acute respiratory distress syndrome,J80,Acute respiratory distress syndrome
icd,icd:J81.0,ICD J81.0,J81.0 | Acute pulmonary edema,J81.0,Acute pulmonary edema
icd,icd:J93.0,ICD J93.0,J93.0 | Spontaneous tension pneumothorax,J93.0,Spontaneous tension pneumothorax
icd,icd:J93.11,ICD J93.11,J93.11 | Primary spontaneous pneumothorax,J93.11,Primary spontaneous pneumothorax
icd,icd:J93.12,ICD J93.12,J93.12 | Secondary spontaneous pneumothorax,J93.12,Secondary spontaneous pneumothorax
icd,icd:J96.00,ICD J96.00,"J96.00 | Acute respiratory failure, unspecified",J96.00,"Acute respiratory failure, unspecified"
icd,icd:J96.01,ICD J96.01,J96.01 | Acute respiratory failure with hypoxia,J96.01,Acute respiratory failure with hypoxia
icd,icd:J96.02,ICD J96.02,J96.02 | Acute respiratory failure with hypercapnia,J96.02,Acute respiratory failure with hypercapnia
icd,icd:J90,ICD J90,"J90 | Pleural effusion, not elsewhere classified",J90,"Pleural effusion, not elsewhere classified"
icd,icd:J84.10,ICD J84.10,"J84.10 | Pulmonary fibrosis, unspecified",J84.10,"Pulmonary fibrosis, unspecified"
icd,icd:K08.81,ICD K08.81,K08.81 | Dental pain,K08.81,Dental pain
icd,icd:K21.0,ICD K21.0,K21.0 | Gastro-oesophageal reflux disease with oesophagitis,K21.0,Gastro-oesophageal reflux disease with oesophagitis
icd,icd:K21.9,ICD K21.9,K21.9 | Gastro-oesophageal reflux disease without oesophagitis,K21.9,Gastro-oesophageal reflux disease without oesophagitis
icd,icd:K25.0,ICD K25.0,K25.0 | Acute gastric ulcer with haemorrhage,K25.0,Acute gastric ulcer with haemorrhage
icd,icd:K25.9,ICD K25.9,"K25.9 | Gastric ulcer, unspecified",K25.9,"Gastric ulcer, unspecified"
icd,icd:K26.0,ICD K26.0,K26.0 | Acute duodenal ulcer with haemorrhage,K26.0,Acute duodenal ulcer with haemorrhage
icd,icd:K29.00,ICD K29.00,K29.00 | Acute gastritis without bleeding,K29.00,Acute gastritis without bleeding
icd,icd:K29.01,ICD K29.01,K29.01 | Acute gastritis with bleeding,K29.01,Acute gastritis with bleeding
icd,icd:K29.70,ICD K29.70,"K29.70 | Gastritis, unspecified, without bleeding",K29.70,"Gastritis, unspecified, without bleeding"
icd,icd:K30,ICD K30,K30 | Functional dyspepsia,K30,Functional dyspepsia
icd,icd:K35.20,ICD K35.20,K35.20 | Acute appendicitis with generalized peritonitis,K35.20,Acute appendicitis with generalized peritonitis
icd,icd:K35.80,ICD K35.80,K35.80 | Acute appendicitis without peritonitis or abscess,K35.80,Acute appendicitis without peritonitis or abscess
icd,icd:K37,ICD K37,K37 | Unspecified appendicitis,K37,Unspecified appendicitis
icd,icd:K40.90,ICD K40.90,"K40.90 | Unilateral inguinal hernia, without obstruction or gangrene",K40.90,"Unilateral inguinal hernia, without obstruction or gangrene"
icd,icd:K40.30,ICD K40.30,"K40.30 | Unilateral inguinal hernia with obstruction, without gangrene",K40.30,"Unilateral inguinal hernia with obstruction, without gangrene"
icd,icd:K42.0,ICD K42.0,K42.0 | Umbilical hernia with obstruction,K42.0,Umbilical hernia with obstruction
icd,icd:K42.9,ICD K42.9,K42.9 | Umbilical hernia without obstruction or gangrene,K42.9,Umbilical hernia without obstruction or gangrene
icd,icd:K50.90,ICD K50.90,"K50.90 | Crohn's disease, unspecified, without complications",K50.90,"Crohn's disease, unspecified, without complications"
icd,icd:K51.90,ICD K51.90,"K51.90 | Ulcerative colitis, unspecified, without complications",K51.90,"Ulcerative colitis, unspecified, without complications"
icd,icd:K52.9,ICD K52.9,"K52.9 | Noninfective gastroenteritis and colitis, unspecified",K52.9,"Noninfective gastroenteritis and colitis, unspecified"
icd,icd:K56.0,ICD K56.0,K56.0 | Paralytic ileus,K56.0,Paralytic ileus
icd,icd:K56.50,ICD K56.50,K56.50 | Intestinal adhesions with partial obstruction,K56.50,Intestinal adhesions with partial obstruction
icd,icd:K56.609,ICD K56.609,K56.609 | Unspecified intestinal obstruction,K56.609,Unspecified intestinal obstruction
icd,icd:K57.20,ICD K57.20,K57.20 | Diverticulitis of large intestine without perforation,K57.20,Diverticulitis of large intestine without perforation
icd,icd:K57.30,ICD K57.30,K57.30 | Diverticulosis of large intestine without perforation,K57.30,Diverticulosis of large intestine without perforation
icd,icd:K60.0,ICD K60.0,K60.0 | Acute anal fissure,K60.0,Acute anal fissure
icd,icd:K61.0,ICD K61.0,K61.0 | Anal abscess,K61.0,Anal abscess
icd,icd:K64.0,ICD K64.0,K64.0 | First degree haemorrhoids,K64.0,First degree haemorrhoids
